feature,icc_before,n_pairs_x,icc_after,n_pairs_y,norm
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.4586477393573488,22,0.38789642584510586,22,zscore
original_gldm_LowGrayLevelEmphasis,0.580470998368437,22,0.47570701405206994,22,zscore
original_gldm_SmallDependenceEmphasis,0.7338229783381953,22,0.7280090603296147,22,zscore
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.6096057403006925,22,0.604563398258125,22,zscore
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.5981656367068993,22,0.5104786021800358,22,zscore
original_ngtdm_Busyness,0.5081440703326501,22,0.5159022537222536,22,zscore
original_ngtdm_Coarseness,0.6832828425303895,22,0.6827072474999917,22,zscore
original_ngtdm_Complexity,0.6804597329824801,22,0.6734033303536329,22,zscore
original_ngtdm_Contrast,0.6145507684544294,22,0.5987591143704916,22,zscore
original_ngtdm_Strength,0.4707431595938913,22,0.47198848436380114,22,zscore
