feature,stage,reason
wavelet-LHL_glszm_ZoneVariance,icc,ICC_A=0.006 ≤ 0.75
wavelet-LHL_gldm_DependenceEntropy,icc,ICC_A=0.641 ≤ 0.75
wavelet-LHL_gldm_DependenceNonUniformityNormalized,icc,ICC_A=0.700 ≤ 0.75
wavelet-LHL_gldm_DependenceVariance,icc,ICC_A=0.129 ≤ 0.75
wavelet-LHL_gldm_GrayLevelNonUniformity,icc,ICC_A=0.395 ≤ 0.75
wavelet-LHL_gldm_LargeDependenceEmphasis,icc,ICC_A=0.069 ≤ 0.75
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,icc,ICC_A=0.010 ≤ 0.75
wavelet-LHL_gldm_LowGrayLevelEmphasis,icc,ICC_A=0.125 ≤ 0.75
wavelet-LHL_gldm_SmallDependenceEmphasis,icc,ICC_A=0.719 ≤ 0.75
wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,icc,ICC_A=0.722 ≤ 0.75
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,icc,ICC_A=0.724 ≤ 0.75
wavelet-LHL_ngtdm_Busyness,icc,ICC_A=0.109 ≤ 0.75
wavelet-LHL_ngtdm_Coarseness,icc,ICC_A=0.711 ≤ 0.75
wavelet-LHL_ngtdm_Contrast,icc,ICC_A=0.731 ≤ 0.75
wavelet-LHH_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
wavelet-LHH_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
wavelet-LHH_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
wavelet-LHH_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
wavelet-LHH_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
wavelet-LHH_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
wavelet-LHH_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
wavelet-LHH_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
wavelet-LHH_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
wavelet-LHH_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
wavelet-LHH_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
wavelet-LHH_firstorder_Energy,icc,ICC_A=0.729 ≤ 0.75
wavelet-LHH_firstorder_Maximum,icc,ICC_A=0.711 ≤ 0.75
wavelet-LHH_firstorder_Mean,icc,ICC_A=0.099 ≤ 0.75
wavelet-LHH_firstorder_Median,icc,ICC_A=-1.100 ≤ 0.75
wavelet-LHH_firstorder_RootMeanSquared,icc,ICC_A=0.609 ≤ 0.75
wavelet-LHH_firstorder_Skewness,icc,ICC_A=0.293 ≤ 0.75
wavelet-LHH_firstorder_TotalEnergy,icc,ICC_A=0.729 ≤ 0.75
wavelet-LHH_firstorder_Uniformity,icc,ICC_A=0.459 ≤ 0.75
wavelet-LHH_glcm_ClusterShade,icc,ICC_A=0.273 ≤ 0.75
wavelet-LHH_glcm_Correlation,icc,ICC_A=0.571 ≤ 0.75
wavelet-LHH_glcm_Id,icc,ICC_A=0.651 ≤ 0.75
wavelet-LHH_glcm_Idm,icc,ICC_A=0.609 ≤ 0.75
wavelet-LHH_glcm_Idmn,icc,ICC_A=0.635 ≤ 0.75
wavelet-LHH_glcm_Idn,icc,ICC_A=0.632 ≤ 0.75
wavelet-LHH_glcm_Imc1,icc,ICC_A=0.375 ≤ 0.75
wavelet-LHH_glcm_Imc2,icc,ICC_A=0.726 ≤ 0.75
wavelet-LHH_glcm_JointEnergy,icc,ICC_A=0.164 ≤ 0.75
wavelet-LHH_glcm_JointEntropy,icc,ICC_A=0.733 ≤ 0.75
wavelet-LHH_glcm_MCC,icc,ICC_A=0.557 ≤ 0.75
wavelet-LHH_glcm_MaximumProbability,icc,ICC_A=0.171 ≤ 0.75
wavelet-LHH_glcm_SumEntropy,icc,ICC_A=0.735 ≤ 0.75
wavelet-LHH_glrlm_GrayLevelNonUniformity,icc,ICC_A=0.615 ≤ 0.75
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,icc,ICC_A=0.562 ≤ 0.75
wavelet-LHH_glrlm_LongRunEmphasis,icc,ICC_A=0.121 ≤ 0.75
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,icc,ICC_A=0.066 ≤ 0.75
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,icc,ICC_A=0.233 ≤ 0.75
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,icc,ICC_A=0.514 ≤ 0.75
wavelet-LHH_glrlm_RunPercentage,icc,ICC_A=0.381 ≤ 0.75
wavelet-LHH_glrlm_RunVariance,icc,ICC_A=0.079 ≤ 0.75
wavelet-LHH_glrlm_ShortRunEmphasis,icc,ICC_A=0.410 ≤ 0.75
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,icc,ICC_A=0.288 ≤ 0.75
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,icc,ICC_A=0.474 ≤ 0.75
wavelet-LHH_glszm_LargeAreaEmphasis,icc,ICC_A=0.038 ≤ 0.75
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,icc,ICC_A=0.298 ≤ 0.75
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,icc,ICC_A=0.006 ≤ 0.75
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,icc,ICC_A=0.205 ≤ 0.75
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,icc,ICC_A=0.418 ≤ 0.75
